"","X1","date_use","total_cases","new_case","avg_cases","total_deaths","new_deaths","avg_deaths"
"1",1,2020-10-28,289076,80,919,6657,1,8
"2",2,2020-10-27,288996,777,1111,6656,2,9
"3",3,2020-10-26,288219,1450,1209,6654,10,11
"4",4,2020-10-25,286769,432,1234,6644,12,11
"5",5,2020-10-24,286337,942,1249,6632,9,10
"6",6,2020-10-23,285395,1370,1251,6623,11,9
"7",7,2020-10-22,284025,1383,1237,6612,9,10
"8",8,2020-10-21,282642,1426,1228,6603,11,11
"9",9,2020-10-20,281216,1462,1209,6592,13,11
"10",10,2020-10-19,279754,1621,1171,6579,12,12
"11",11,2020-10-18,278133,540,1153,6567,6,13
"12",12,2020-10-17,277593,958,1145,6561,4,14
"13",13,2020-10-16,276635,1272,1154,6557,17,15
"14",14,2020-10-15,275363,1319,1147,6540,12,14
"15",15,2020-10-14,274044,1289,1130,6528,15,15
"16",16,2020-10-13,272755,1198,1133,6513,19,16
"17",17,2020-10-12,271557,1492,1092,6494,16,16
"18",18,2020-10-11,270065,486,1034,6478,14,15
"19",19,2020-10-10,269579,1020,1035,6464,9,16
"20",20,2020-10-09,268559,1228,1011,6455,11,16
"21",21,2020-10-08,267331,1194,991,6444,23,17
"22",22,2020-10-07,266137,1310,986,6421,20,15
"23",23,2020-10-06,264827,914,962,6401,17,14
"24",24,2020-10-05,263913,1086,988,6384,14,13
"25",25,2020-10-04,262827,493,983,6370,18,14
"26",26,2020-10-03,262334,853,979,6352,12,14
"27",27,2020-10-02,261481,1089,961,6340,12,15
"28",28,2020-10-01,260392,1158,957,6328,13,16
"29",29,2020-09-30,259234,1142,961,6315,14,17
"30",30,2020-09-29,258092,1095,958,6301,9,19
"31",31,2020-09-28,256997,1049,953,6292,21,20
"32",32,2020-09-27,255948,465,980,6271,18,19
"33",33,2020-09-26,255483,728,978,6253,20,19
"34",34,2020-09-25,254755,1065,974,6233,17,18
"35",35,2020-09-24,253690,1181,957,6216,19,18
"36",36,2020-09-23,252509,1125,941,6197,27,18
"37",37,2020-09-22,251384,1061,945,6170,19,17
"38",38,2020-09-21,250323,1236,930,6151,15,17
"39",39,2020-09-20,249087,450,917,6136,15,17
"40",40,2020-09-19,248637,700,897,6121,16,18
"41",41,2020-09-18,247937,947,887,6105,15,18
"42",42,2020-09-17,246990,1065,891,6090,18,20
"43",43,2020-09-16,245925,1153,871,6072,20,21
"44",44,2020-09-15,244772,960,854,6052,20,22
"45",45,2020-09-14,243812,1146,880,6032,18,23
"46",46,2020-09-13,242666,305,770,6014,19,25
"47",47,2020-09-12,242361,630,780,5995,19,25
"48",48,2020-09-11,241731,977,754,5976,25,25
"49",49,2020-09-10,240754,924,753,5951,25,26
"50",50,2020-09-09,239830,1034,765,5926,28,26
"51",51,2020-09-08,238796,1146,789,5898,29,25
"52",52,2020-09-07,237650,375,779,5869,27,25
"53",53,2020-09-06,237275,374,901,5842,21,25
"54",54,2020-09-05,236901,451,907,5821,21,27
"55",55,2020-09-04,236450,964,962,5800,30,29
"56",56,2020-09-03,235486,1010,973,5770,24,28
"57",57,2020-09-02,234476,1204,997,5746,23,29
"58",58,2020-09-01,233272,1075,1023,5723,28,29
"59",59,2020-08-31,232197,1227,1047,5695,29,30
"60",60,2020-08-30,230970,415,1090,5666,33,29
"61",61,2020-08-29,230555,839,1101,5633,34,28
"62",62,2020-08-28,229716,1044,1109,5599,22,29
"63",63,2020-08-27,228672,1177,1142,5577,31,30
"64",64,2020-08-26,227495,1385,1164,5546,28,31
"65",65,2020-08-25,226110,1244,1166,5518,30,33
"66",66,2020-08-24,224866,1524,1195,5488,25,33
"67",67,2020-08-23,223342,497,1192,5463,29,35
"68",68,2020-08-22,222845,889,1198,5434,38,36
"69",69,2020-08-21,221956,1278,1227,5396,32,35
"70",70,2020-08-20,220678,1332,1246,5364,38,36
"71",71,2020-08-19,219346,1396,1270,5326,40,35
"72",72,2020-08-18,217950,1446,1303,5286,29,33
"73",73,2020-08-17,216504,1506,1334,5257,39,35
"74",74,2020-08-16,214998,540,1411,5218,36,36
"75",75,2020-08-15,214458,1090,1426,5182,33,37
"76",76,2020-08-14,213368,1415,1455,5149,34,37
"77",77,2020-08-13,211953,1498,1521,5115,31,37
"78",78,2020-08-12,210455,1625,1574,5084,32,38
"79",79,2020-08-11,208830,1664,1630,5052,43,38
"80",80,2020-08-10,207166,2044,1704,5009,43,39
"81",81,2020-08-09,205122,649,1721,4966,41,38
"82",82,2020-08-08,204473,1288,1733,4925,35,38
"83",83,2020-08-07,203185,1877,1782,4890,33,40
"84",84,2020-08-06,201308,1869,1818,4857,36,41
"85",85,2020-08-05,199439,2016,1875,4821,34,42
"86",86,2020-08-04,197423,2183,1921,4787,48,42
"87",87,2020-08-03,195240,2162,1976,4739,41,40
"88",88,2020-08-02,193078,734,2038,4698,40,40
"89",89,2020-08-01,192344,1636,2047,4658,47,41
"90",90,2020-07-31,190708,2125,2104,4611,39,40
"91",91,2020-07-30,188583,2266,2159,4572,42,40
"92",92,2020-07-29,186317,2338,2208,4530,39,40
"93",93,2020-07-28,183979,2572,2303,4491,32,41
"94",94,2020-07-27,181407,2596,2398,4459,42,43
"95",95,2020-07-26,178811,794,2513,4417,43,43
"96",96,2020-07-25,178017,2035,2551,4374,46,42
"97",97,2020-07-24,175982,2512,2597,4328,39,40
"98",98,2020-07-23,173470,2608,2706,4289,38,40
"99",99,2020-07-22,170862,3003,2821,4251,49,41
"100",100,2020-07-21,167859,3235,2826,4202,47,39
"101",101,2020-07-20,164624,3406,2847,4155,41,39
"102",102,2020-07-19,161218,1059,2870,4114,37,41
"103",103,2020-07-18,160159,2355,2895,4077,32,40
"104",104,2020-07-17,157804,3278,2911,4045,36,40
"105",105,2020-07-16,154526,3409,2909,4009,43,41
"106",106,2020-07-15,151117,3039,2901,3966,37,39
"107",107,2020-07-14,148078,3385,2950,3929,48,39
"108",108,2020-07-13,144693,3563,2961,3881,55,37
"109",109,2020-07-12,141130,1239,2840,3826,29,34
"110",110,2020-07-11,139891,2462,2831,3797,33,35
"111",111,2020-07-10,137429,3268,2609,3764,40,35
"112",112,2020-07-09,134161,3348,2358,3724,32,34
"113",113,2020-07-08,130813,3383,2342,3692,35,35
"114",114,2020-07-07,127430,3461,2349,3657,33,34
"115",115,2020-07-06,123969,2716,2289,3624,35,35
"116",116,2020-07-05,121253,1182,2322,3589,39,34
"117",117,2020-07-04,120071,906,2310,3550,28,34
"118",118,2020-07-03,119165,1507,2474,3522,33,34
"119",119,2020-07-02,117658,3241,2666,3489,41,33
"120",120,2020-07-01,114417,3428,2621,3448,29,31
"121",121,2020-06-30,110989,3042,2514,3419,37,32
"122",122,2020-06-29,107947,2949,2433,3382,32,30
"123",123,2020-06-28,104998,1100,2329,3350,40,30
"124",124,2020-06-27,103898,2049,2305,3310,24,28
"125",125,2020-06-26,101849,2851,2227,3286,31,31
"126",126,2020-06-25,98998,2926,2075,3255,25,31
"127",127,2020-06-24,96072,2682,1916,3230,37,32
"128",128,2020-06-23,93390,2474,1806,3193,21,32
"129",129,2020-06-22,90916,2220,1716,3172,30,33
"130",130,2020-06-21,88696,936,1685,3142,31,33
"131",131,2020-06-20,87760,1497,1673,3111,39,33
"132",132,2020-06-19,86263,1791,1639,3072,35,31
"133",133,2020-06-18,84472,1814,1596,3037,29,30
"134",134,2020-06-17,82658,1908,1538,3008,40,30
"135",135,2020-06-16,80750,1848,1481,2968,24,28
"136",136,2020-06-15,78902,2001,1408,2944,32,29
"137",137,2020-06-14,76901,852,1346,2912,29,30
"138",138,2020-06-13,76049,1256,1323,2883,28,31
"139",139,2020-06-12,74793,1490,1298,2855,31,32
"140",140,2020-06-11,73303,1408,1283,2824,24,33
"141",141,2020-06-10,71895,1511,1303,2800,26,36
"142",142,2020-06-09,70384,1339,1278,2774,36,39
"143",143,2020-06-08,69045,1563,1287,2738,37,38
"144",144,2020-06-07,67482,695,1236,2701,35,38
"145",145,2020-06-06,66787,1083,1206,2666,35,37
"146",146,2020-06-05,65704,1385,1183,2631,39,37
"147",147,2020-06-04,64319,1544,1197,2592,45,37
"148",148,2020-06-03,62775,1338,1158,2547,45,35
"149",149,2020-06-02,61437,1400,1165,2502,30,35
