X1,date_use,total_cases,new_case,avg_cases,total_deaths,new_deaths,avg_deaths
1,2020-11-01,294396,31,1041,6688,0,6
2,2020-10-31,294365,678,1091,6688,1,7
3,2020-10-30,293687,1202,1113,6687,3,9
4,2020-10-29,292485,1297,1130,6684,10,10
5,2020-10-28,291188,1206,1151,6674,6,10
6,2020-10-27,289982,1313,1196,6668,8,11
7,2020-10-26,288669,1560,1225,6660,12,11
8,2020-10-25,287109,384,1251,6648,12,12
9,2020-10-24,286725,827,1278,6636,9,11
10,2020-10-23,285898,1320,1300,6627,12,11
11,2020-10-22,284578,1450,1298,6615,10,11
12,2020-10-21,283128,1518,1282,6605,11,12
13,2020-10-20,281610,1517,1252,6594,14,12
14,2020-10-19,280093,1741,1208,6580,15,13
15,2020-10-18,278352,572,1173,6565,8,13
16,2020-10-17,277780,985,1162,6557,5,14
17,2020-10-16,276795,1301,1167,6552,17,15
18,2020-10-15,275494,1342,1157,6535,12,14
19,2020-10-14,274152,1309,1137,6523,15,15
20,2020-10-13,272843,1205,1139,6508,20,16
21,2020-10-12,271638,1499,1096,6488,16,16
22,2020-10-11,270139,490,1038,6472,15,15
23,2020-10-10,269649,1023,1039,6457,9,16
24,2020-10-09,268626,1230,1015,6448,11,16
25,2020-10-08,267396,1205,995,6437,22,16
26,2020-10-07,266191,1318,989,6415,19,15
27,2020-10-06,264873,906,964,6396,17,14
28,2020-10-05,263967,1094,992,6379,14,13
29,2020-10-04,262873,498,986,6365,18,14
30,2020-10-03,262375,857,981,6347,12,14
31,2020-10-02,261518,1090,963,6335,12,15
32,2020-10-01,260428,1159,960,6323,13,16
33,2020-09-30,259269,1146,963,6310,14,17
34,2020-09-29,258123,1103,960,6296,9,19
35,2020-09-28,257020,1050,954,6287,20,20
36,2020-09-27,255970,465,981,6267,18,19
37,2020-09-26,255505,729,979,6249,20,19
38,2020-09-25,254776,1068,975,6229,17,18
39,2020-09-24,253708,1181,958,6212,19,18
40,2020-09-23,252527,1126,941,6193,27,18
41,2020-09-22,251401,1061,945,6166,18,17
42,2020-09-21,250340,1237,931,6148,15,17
43,2020-09-20,249103,450,918,6133,15,17
44,2020-09-19,248653,701,897,6118,16,18
45,2020-09-18,247952,948,887,6102,15,18
46,2020-09-17,247004,1064,891,6087,18,20
47,2020-09-16,245940,1154,871,6069,20,21
48,2020-09-15,244786,961,854,6049,20,22
49,2020-09-14,243825,1146,880,6029,18,23
50,2020-09-13,242679,305,770,6011,19,25
51,2020-09-12,242374,630,780,5992,19,25
52,2020-09-11,241744,978,754,5973,25,25
53,2020-09-10,240766,924,752,5948,25,26
54,2020-09-09,239842,1034,765,5923,28,26
55,2020-09-08,238808,1145,789,5895,29,25
56,2020-09-07,237663,375,779,5866,27,25
57,2020-09-06,237288,373,901,5839,21,25
58,2020-09-05,236915,451,907,5818,21,27
59,2020-09-04,236464,965,962,5797,30,29
60,2020-09-03,235499,1011,974,5767,24,28
61,2020-09-02,234488,1204,997,5743,23,29
62,2020-09-01,233284,1075,1023,5720,28,29
63,2020-08-31,232209,1227,1047,5692,29,30
64,2020-08-30,230982,415,1090,5663,33,29
65,2020-08-29,230567,839,1102,5630,34,28
66,2020-08-28,229728,1044,1109,5596,22,29
67,2020-08-27,228684,1177,1142,5574,31,30
68,2020-08-26,227507,1384,1164,5543,28,31
69,2020-08-25,226123,1245,1166,5515,30,33
70,2020-08-24,224878,1525,1195,5485,25,33
71,2020-08-23,223353,498,1192,5460,29,35
72,2020-08-22,222855,888,1198,5431,37,36
73,2020-08-21,221967,1279,1227,5394,32,35
74,2020-08-20,220688,1332,1247,5362,37,35
75,2020-08-19,219356,1397,1271,5325,41,35
76,2020-08-18,217959,1446,1303,5284,29,33
77,2020-08-17,216513,1507,1334,5255,39,35
78,2020-08-16,215006,540,1411,5216,36,36
79,2020-08-15,214466,1090,1426,5180,32,36
80,2020-08-14,213376,1416,1455,5148,34,37
81,2020-08-13,211960,1498,1521,5114,31,37
82,2020-08-12,210462,1625,1574,5083,32,37
83,2020-08-11,208837,1664,1629,5051,43,38
84,2020-08-10,207173,2043,1704,5008,43,38
85,2020-08-09,205130,649,1721,4965,40,38
86,2020-08-08,204481,1288,1733,4925,35,38
87,2020-08-07,203193,1878,1783,4890,33,40
88,2020-08-06,201315,1868,1818,4857,36,40
89,2020-08-05,199447,2016,1875,4821,34,41
90,2020-08-04,197431,2183,1921,4787,48,42
91,2020-08-03,195248,2163,1976,4739,41,40
92,2020-08-02,193085,734,2038,4698,39,40
93,2020-08-01,192351,1636,2047,4659,47,41
94,2020-07-31,190715,2125,2104,4612,38,41
95,2020-07-30,188590,2265,2159,4574,42,41
96,2020-07-29,186325,2338,2208,4532,39,40
97,2020-07-28,183987,2573,2303,4493,33,42
98,2020-07-27,181414,2597,2397,4460,42,43
99,2020-07-26,178817,793,2513,4418,44,43
100,2020-07-25,178024,2036,2551,4374,46,42
101,2020-07-24,175988,2512,2596,4328,39,40
102,2020-07-23,173476,2607,2706,4289,38,40
103,2020-07-22,170869,3003,2820,4251,49,41
104,2020-07-21,167866,3234,2825,4202,46,39
105,2020-07-20,164632,3405,2847,4156,41,39
106,2020-07-19,161227,1059,2870,4115,37,41
107,2020-07-18,160168,2355,2895,4078,32,40
108,2020-07-17,157813,3278,2911,4046,37,40
109,2020-07-16,154535,3408,2910,4009,43,41
110,2020-07-15,151127,3039,2901,3966,37,39
111,2020-07-14,148088,3385,2950,3929,48,39
112,2020-07-13,144703,3563,2961,3881,55,37
113,2020-07-12,141140,1239,2840,3826,29,34
