"","date_use","total_cases","new_case","avg_cases","total_deaths","new_deaths","avg_deaths"
"1",2020-11-22,352138,101,3099,7045,3,14
"2",2020-11-21,352037,1089,3301,7042,3,16
"3",2020-11-20,350948,3623,3490,7039,10,17
"4",2020-11-19,347325,4013,3400,7029,31,17
"5",2020-11-18,343312,4312,3251,6998,10,15
"6",2020-11-17,339000,4402,3065,6988,26,15
"7",2020-11-16,334598,4155,2856,6962,18,13
"8",2020-11-15,330443,1514,2701,6944,14,12
"9",2020-11-14,328929,2412,2634,6930,11,11
"10",2020-11-13,326517,2993,2557,6919,10,11
"11",2020-11-12,323524,2968,2465,6909,13,12
"12",2020-11-11,320556,3012,2394,6896,11,11
"13",2020-11-10,317544,2941,2313,6885,12,11
"14",2020-11-09,314603,3070,2169,6873,11,11
"15",2020-11-08,311533,1040,2000,6862,11,11
"16",2020-11-07,310493,1874,1961,6851,10,12
"17",2020-11-06,308619,2353,1854,6841,17,13
"18",2020-11-05,306266,2468,1710,6824,8,12
"19",2020-11-04,303798,2446,1542,6816,9,13
"20",2020-11-03,301352,1934,1365,6807,14,14
"21",2020-11-02,299418,1884,1274,6793,11,14
"22",2020-11-01,297534,771,1216,6782,18,14
"23",2020-10-31,296763,1125,1212,6764,13,14
"24",2020-10-30,295638,1340,1204,6751,9,14
"25",2020-10-29,294298,1295,1236,6742,17,16
"26",2020-10-28,293003,1205,1290,6725,13,15
"27",2020-10-27,291798,1301,1360,6712,17,15
"28",2020-10-26,290497,1475,1409,6695,13,15
"29",2020-10-25,289022,745,1459,6682,16,15
"30",2020-10-24,288277,1068,1444,6666,14,14
"31",2020-10-23,287209,1566,1439,6652,19,14
"32",2020-10-22,285643,1667,1406,6633,14,14
"33",2020-10-21,283976,1695,1365,6619,15,14
"34",2020-10-20,282281,1645,1314,6604,14,14
"35",2020-10-19,280636,1824,1255,6590,16,15
"36",2020-10-18,278812,641,1213,6574,9,15
"37",2020-10-17,278171,1034,1193,6565,11,16
"38",2020-10-16,277137,1337,1194,6554,18,15
"39",2020-10-15,275800,1382,1182,6536,14,14
"40",2020-10-14,274418,1338,1158,6522,17,15
"41",2020-10-13,273080,1230,1155,6505,19,16
"42",2020-10-12,271850,1527,1109,6486,15,15
"43",2020-10-11,270323,502,1049,6471,15,15
